indicator_id,description
policy_window,Policy window 
verifiable_threshold,Verifiable threshold ready 
epistemic_infra,Epistemic infrastructure
info_sharing,Information sharing
verification_feasibility,Verification feasibility
feasibility_path,Feasibility path for industry
venue_depositary,Venue + depositary
finance_vehicle,Finance vehicle ready
geopolitical_alignment,Geopolitical alignment
legal_plumbing,Legal plumbing
capability_shock,Capability shock 
incident_cluster,Incident cluster 
epistemic_shift,Epistemic shift
public_salience,Public salience
resource_shift,Resource shift 